Notes by Logger, N
if only there were a time machine to warn Marion against the dangers of soft pencil on tape labels, 1
post-it on tape reads: Climate - look for rest of 6 parts, 1
presumably 1995, 1
presumably 1996, 1
top of label cut off, 1
presumably 1983, 1
looks like 78, but presumably '82, 1
dates don't make sense in the order they appear, 1
presumably 1994, 1
date cut from top of label, 1
label mostly illegible, 1
maybe 5-26?, 1
presumably 6-23-95 or thereabouts, 1
question mark next to day in date 19(?), 1
question mark next to the day in date 19(?), 1
start time illegible PM, 1
tape on side, 1
damaged label, cannot see network nor start time, 1
label ripped off ; presumably 2004, 1
three 8-?-93 dates, 1
with 1991 tapes, 1
may be 1982?, 1
post-it on rest of label, 1
presumably 1980, 1
NO LABEL/wrong side of tape, 1
looks like '91 could be '94, 1
front partof label cut off, 1
started writing dates in teens, but begins in 20s..., 1
may be 1992 not 1995, 1
2001 in a sea of 2006..., 1
1998?, 1
presumably '98 or '99, 1
No date entered, 1
